Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	9/26	3.933573e-15	5.361461e-12	0	0	1.156736e+02	3.836803e+03	HLA-DMA;HLA-DMB;FCER1G;HLA-DRA;HLA-DQA2;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	9/28	8.624374e-15	5.877511e-12	0	0	1.034870e+02	3.351342e+03	HLA-DMA;HLA-DMB;FCER1G;HLA-DRA;HLA-DQA2;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Immunoglobulin Mediated Immune Response (GO:0016064)	9/30	1.771907e-14	7.452774e-12	0	0	9.362166e+01	2.964449e+03	CD74;HLA-DMA;HLA-DMB;FCER1G;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	9/31	2.486574e-14	7.452774e-12	0	0	8.936164e+01	2.799279e+03	HLA-DMA;HLA-DMB;FCER1G;HLA-DRA;HLA-DQA2;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	10/47	2.733960e-14	7.452774e-12	0	0	5.964865e+01	1.862854e+03	PYCARD;HLA-DMA;HLA-DMB;TYROBP;CLEC7A;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	MHC Class II Protein Complex Assembly (GO:0002399)	7/14	2.103653e-13	4.096114e-11	0	0	2.139032e+02	6.243820e+03	HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	7/14	2.103653e-13	4.096114e-11	0	0	2.139032e+02	6.243820e+03	HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	7/18	1.919214e-12	3.269861e-10	0	0	1.360929e+02	3.671664e+03	HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	7/19	3.026426e-12	4.583353e-10	0	0	1.247455e+02	3.308705e+03	HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023	Positive Regulation Of T Cell Activation (GO:0050870)	11/107	5.788073e-12	7.889144e-10	0	0	2.549672e+01	6.597334e+02	CD86;PYCARD;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA2;AIF1;ACTB;HLA-DQA1;HLA-DRB1;HLA-DPA1
